feature_path,label,label_id,member
Noise\mem1-vernica\clapping\Clapping.npy,Noise,0,mem1-vernica
Noise\mem1-vernica\fan\Fan.npy,Noise,0,mem1-vernica
Noise\mem1-vernica\furniture\Furniture.npy,Noise,0,mem1-vernica
Noise\mem1-vernica\silence\Silence.npy,Noise,0,mem1-vernica
Noise\mem2-usha\clapping\26-08-2026 16.56.npy,Noise,0,mem2-usha
Noise\mem2-usha\clapping\clap.npy,Noise,0,mem2-usha
Noise\mem2-usha\fan\26-08-2026 16.56(2).npy,Noise,0,mem2-usha
Noise\mem2-usha\fan\26-08-2026 16.57.npy,Noise,0,mem2-usha
Noise\mem2-usha\furniture\26-08-2026 16.57(2).npy,Noise,0,mem2-usha
Noise\mem2-usha\furniture\26-08-2026 16.58.npy,Noise,0,mem2-usha
Noise\mem2-usha\phone notification\26-08-2026 16.59(3).npy,Noise,0,mem2-usha
Noise\mem2-usha\phone notification\26-08-2026 17.00(2).npy,Noise,0,mem2-usha
Noise\mem2-usha\phone notification\26-08-2026 17.00.npy,Noise,0,mem2-usha
Noise\mem2-usha\silence\26-08-2026 17.01.npy,Noise,0,mem2-usha
Noise\mem2-usha\silence\26-08-2026 17.02.npy,Noise,0,mem2-usha
Noise\mem5-aishwinth\noise\noise 1.npy,Noise,0,mem5-aishwinth
Noise\mem5-aishwinth\noise\noise 2.npy,Noise,0,mem5-aishwinth
Noise\mem5-aishwinth\noise\noise 3.npy,Noise,0,mem5-aishwinth
Noise\mem5-aishwinth\noise\noise 4.npy,Noise,0,mem5-aishwinth
Noise\mem5-aishwinth\noise\noise 5.npy,Noise,0,mem5-aishwinth
Noise\mem5-aishwinth\positive\positive 1.npy,Noise,0,mem5-aishwinth
Noise\mem5-aishwinth\positive\positive 10.npy,Noise,0,mem5-aishwinth
Noise\mem5-aishwinth\positive\positive 11.npy,Noise,0,mem5-aishwinth
Noise\mem5-aishwinth\positive\positive 12.npy,Noise,0,mem5-aishwinth
Noise\mem5-aishwinth\positive\positive 13.npy,Noise,0,mem5-aishwinth
Noise\mem5-aishwinth\positive\positive 14.npy,Noise,0,mem5-aishwinth
Noise\mem5-aishwinth\positive\positive 15.npy,Noise,0,mem5-aishwinth
Noise\mem5-aishwinth\positive\positive 2.npy,Noise,0,mem5-aishwinth
Noise\mem5-aishwinth\positive\positive 3.npy,Noise,0,mem5-aishwinth
Noise\mem5-aishwinth\positive\positive 4.npy,Noise,0,mem5-aishwinth
Noise\mem5-aishwinth\positive\positive 5.npy,Noise,0,mem5-aishwinth
Noise\mem5-aishwinth\positive\positive 6.npy,Noise,0,mem5-aishwinth
Noise\mem5-aishwinth\positive\positive 7.npy,Noise,0,mem5-aishwinth
Noise\mem5-aishwinth\positive\positive 8.npy,Noise,0,mem5-aishwinth
Noise\mem5-aishwinth\positive\positive 9.npy,Noise,0,mem5-aishwinth
Noise\mem5-aishwinth\unknown\unknown 1.npy,Noise,0,mem5-aishwinth
